股票代码,股票简称,最新价,最新涨跌幅,涨停[20250324],首次涨停时间[20250324],最终涨停时间[20250324],涨停明细数据[20250324],连续涨停天数[20250324],涨停原因类别[20250324],涨停封单量[20250324],涨停封单额[20250324],涨停封单量占成交量比[20250324],涨停封单量占流通a股比[20250324],涨停开板次数[20250324],a股市值(不含限售股)[20250324],几天几板[20250324],涨停类型[20250324],market_code,code
002682.SZ,龙洲股份,5.42,9.939148073,涨停, 10:39:36, 10:39:36,"[{""code"":""002682.SZ"",""time"":1742783976000,""openTime"":null,""duration"":7593000,""updatedTime"":1742796963000,""firstVol"":1.3719035E8,""highestVol"":1.4344985E8,""firstVolDivLTGB"":0.2439545890049252,""firstVolDivVol"":1.872695,""highestVolDivLTGB"":0.2550853554901505,""highestVolDivVol"":1.935163}]",1,应急服务+机器人概念+港口码头综合服务+国企,28528100,154622302,30.52706291677159,5.0728163736283225,0,3047992300.000,首板涨停,放量涨停,33,002682
600421.SH,华嵘控股,6.92,10.015898251,涨停, 09:41:38, 09:41:38,"[{""code"":""600421.SH"",""time"":1742780498000,""openTime"":null,""duration"":11076000,""updatedTime"":1742796965000,""firstVol"":2.53614E7,""highestVol"":2.53614E7,""firstVolDivLTGB"":0.12965950920245398,""firstVolDivVol"":7.74886,""highestVolDivLTGB"":0.12965950920245398,""highestVolDivVol"":7.74886}]",1,数据要素+房屋建筑PC构件+装配式建筑+风电混塔模具,13322200,92189624,173.85909009058383,6.8118098159509195,0,1353552000.000,首板涨停,缩量涨停,17,600421
003033.SZ,征和工业,54.07,10.01017294,涨停, 10:33:00, 10:33:00,"[{""code"":""003033.SZ"",""time"":1742783580000,""openTime"":null,""duration"":8016000,""updatedTime"":1742796960000,""firstVol"":8301900.0,""highestVol"":8313400.0,""firstVolDivLTGB"":0.10300363559321467,""firstVolDivVol"":1.725618,""highestVolDivLTGB"":0.10314631881143241,""highestVolDivVol"":1.7279}]",1,链传动+探索机器人领域应用,1773900,95914773,29.811576517976267,2.2004233696450957,0,4357940700.000,首板涨停,缩量涨停,33,003033
603999.SH,读者传媒,6.89,10.063897764,涨停, 11:28:50, 13:57:05,"[{""code"":""603999.SH"",""time"":1742786930000,""openTime"":1742786987000,""duration"":54000,""updatedTime"":1742786987000,""firstVol"":3.10541E7,""highestVol"":3.54982E7,""firstVolDivLTGB"":0.053913368055555556,""firstVolDivVol"":1.579346,""highestVolDivLTGB"":0.06162881944444445,""highestVolDivVol"":1.681874},{""code"":""603999.SH"",""time"":1742795825000,""openTime"":null,""duration"":1140000,""updatedTime"":1742796965000,""firstVol"":3.22845E7,""highestVol"":3.55409E7,""firstVolDivLTGB"":0.056049479166666666,""firstVolDivVol"":0.611123,""highestVolDivLTGB"":0.06170295138888889,""highestVolDivVol"":0.67025}]",1,出版+电商+国企,23897880,164656393.2,42.36713730961157,4.148798611111111,1,3968640000.000,首板涨停,放量涨停,17,603999
600360.SH,ST华微,6.29,5.008347245,涨停, 09:38:21, 10:03:57,"[{""code"":""600360.SH"",""time"":1742780301000,""openTime"":1742780352000,""duration"":48000,""updatedTime"":1742780352000,""firstVol"":2526010.0,""highestVol"":5434610.0,""firstVolDivLTGB"":0.002630451267936222,""firstVolDivVol"":0.205168,""highestVolDivLTGB"":0.005659311232037432,""highestVolDivVol"":0.428983},{""code"":""600360.SH"",""time"":1742780607000,""openTime"":1742781801000,""duration"":1191000,""updatedTime"":1742781801000,""firstVol"":5739400.0,""highestVol"":7731400.0,""firstVolDivLTGB"":0.005976703182961728,""firstVolDivVol"":0.302252,""highestVolDivLTGB"":0.008051065091952173,""highestVolDivVol"":0.40402},{""code"":""600360.SH"",""time"":1742781837000,""openTime"":null,""duration"":9726000,""updatedTime"":1742796963000,""firstVol"":332100.0,""highestVol"":6527420.0,""firstVolDivLTGB"":3.458311194657263E-4,""firstVolDivVol"":0.013957,""highestVolDivLTGB"":0.006797304925693982,""highestVolDivVol"":0.265663}]",1,年报预增+功率半导体+先进封装+小米概念,3866800,24322172,14.874426726022815,0.40266780269499264,2,6040257500.000,首板涨停,缩量涨停,22,600360
600610.SH,中毅达,8.76,10.050251256,涨停, 10:14:29, 11:26:59,"[{""code"":""600610.SH"",""time"":1742782469000,""openTime"":1742782493000,""duration"":21000,""updatedTime"":1742782493000,""firstVol"":5503400.0,""highestVol"":5503400.0,""firstVolDivLTGB"":0.007765193495848304,""firstVolDivVol"":0.066644,""highestVolDivLTGB"":0.007765193495848304,""highestVolDivVol"":0.066644},{""code"":""600610.SH"",""time"":1742782529000,""openTime"":1742786198000,""duration"":3666000,""updatedTime"":1742786198000,""firstVol"":1.10005E7,""highestVol"":2.78746E7,""firstVolDivLTGB"":0.015521497810640562,""firstVolDivVol"":0.127195,""highestVolDivLTGB"":0.03933053432775614,""highestVolDivVol"":0.320428},{""code"":""600610.SH"",""time"":1742786228000,""openTime"":1742786810000,""duration"":579000,""updatedTime"":1742786810000,""firstVol"":4325700.0,""highestVol"":7935500.0,""firstVolDivLTGB"":0.00610348103081568,""firstVolDivVol"":0.044004,""highestVolDivLTGB"":0.011196840677818115,""highestVolDivVol"":0.08049},{""code"":""600610.SH"",""time"":1742786819000,""openTime"":null,""duration"":4770000,""updatedTime"":1742796965000,""firstVol"":2373010.0,""highestVol"":8074455.0,""firstVolDivLTGB"":0.003348272307588579,""firstVolDivVol"":0.023138,""highestVolDivLTGB"":0.011392903559348733,""highestVolDivVol"":0.076105}]",1,季戊四醇+精细化工+国企改革,6606255,57870793.8,6.135478507057757,0.9321301078953981,3,6208445900.000,首板涨停,放量涨停,17,600610
603215.SH,比依股份,19.86,10.027700831,涨停, 09:33:30, 09:50:54,"[{""code"":""603215.SH"",""time"":1742780010000,""openTime"":1742780112000,""duration"":99000,""updatedTime"":1742780112000,""firstVol"":1.9772497E7,""highestVol"":2.2266897E7,""firstVolDivLTGB"":0.1056063028478909,""firstVolDivVol"":5.481849,""highestVolDivLTGB"":0.11892906940710592,""highestVolDivVol"":5.730321},{""code"":""603215.SH"",""time"":1742780154000,""openTime"":1742780982000,""duration"":825000,""updatedTime"":1742780982000,""firstVol"":1.7590428E7,""highestVol"":2.1404628E7,""firstVolDivLTGB"":0.09395171821707798,""firstVolDivVol"":1.327372,""highestVolDivLTGB"":0.11432362978304891,""highestVolDivVol"":1.554363},{""code"":""603215.SH"",""time"":1742781054000,""openTime"":null,""duration"":10536000,""updatedTime"":1742796963000,""firstVol"":1.08759E7,""highestVol"":1.43285E7,""firstVolDivLTGB"":0.05808894997649395,""firstVolDivVol"":0.553724,""highestVolDivLTGB"":0.07652953040559343,""highestVolDivVol"":0.72623}]",1,AI眼镜+小家电+拟合资设立境外子公司,4055300,80538258,17.30625881599038,2.1659643692905957,2,3718355600.000,首板涨停,放量涨停,17,603215
002735.SZ,王子新材,10.49,9.958071279,涨停, 10:01:33, 10:05:00,"[{""code"":""002735.SZ"",""time"":1742781693000,""openTime"":1742781843000,""duration"":147000,""updatedTime"":1742781843000,""firstVol"":5.75769E7,""highestVol"":5.78669E7,""firstVolDivLTGB"":0.2051951524151412,""firstVolDivVol"":4.111019,""highestVolDivLTGB"":0.20622866749150673,""highestVolDivVol"":4.004933},{""code"":""002735.SZ"",""time"":1742781867000,""openTime"":1742781891000,""duration"":21000,""updatedTime"":1742781891000,""firstVol"":4.25824E7,""highestVol"":4.25824E7,""firstVolDivLTGB"":0.1517570771994065,""firstVolDivVol"":1.999851,""highestVolDivLTGB"":0.1517570771994065,""highestVolDivVol"":1.999851},{""code"":""002735.SZ"",""time"":1742781900000,""openTime"":null,""duration"":9720000,""updatedTime"":1742796960000,""firstVol"":2.62315E7,""highestVol"":3.89933E7,""firstVolDivLTGB"":0.09348500250235384,""firstVolDivVol"":1.098187,""highestVolDivLTGB"":0.13896608078360115,""highestVolDivVol"":1.311995}]",1,军工电子+飞行汽车+家电,15006176,157414786.24,36.1824287924721,5.346186744556164,2,2943450000.000,首板涨停,放量涨停,33,002735
600882.SH,妙可蓝多,21.03,9.989539749,涨停, 09:32:03, 13:11:00,"[{""code"":""600882.SH"",""time"":1742779923000,""openTime"":1742779971000,""duration"":45000,""updatedTime"":1742779971000,""firstVol"":1.0899E7,""highestVol"":1.35034E7,""firstVolDivLTGB"":0.02128487916032751,""firstVolDivVol"":3.088585,""highestVolDivLTGB"":0.0263710649833532,""highestVolDivVol"":3.44176},{""code"":""600882.SH"",""time"":1742780109000,""openTime"":1742784588000,""duration"":4476000,""updatedTime"":1742784588000,""firstVol"":1.55249E7,""highestVol"":1.55747E7,""firstVolDivLTGB"":0.03031889352015493,""firstVolDivVol"":1.901676,""highestVolDivLTGB"":0.030416148954798872,""highestVolDivVol"":1.875069},{""code"":""600882.SH"",""time"":1742784597000,""openTime"":1742784624000,""duration"":24000,""updatedTime"":1742784624000,""firstVol"":2940000.0,""highestVol"":4313000.0,""firstVolDivLTGB"":0.0057415859006663805,""firstVolDivVol"":0.210442,""highestVolDivLTGB"":0.008422945574685068,""highestVolDivVol"":0.30836},{""code"":""600882.SH"",""time"":1742784633000,""openTime"":1742785245000,""duration"":609000,""updatedTime"":1742785245000,""firstVol"":1119900.0,""highestVol"":4516700.0,""firstVolDivLTGB"":0.0021870755272640407,""firstVolDivVol"":0.078275,""highestVolDivLTGB"":0.008820755454945525,""highestVolDivVol"":0.30193},{""code"":""600882.SH"",""time"":1742785254000,""openTime"":1742785266000,""duration"":9000,""updatedTime"":1742785266000,""firstVol"":8400.0,""highestVol"":32900.0,""firstVolDivLTGB"":1.640453114476109E-5,""firstVolDivVol"":4.99E-4,""highestVolDivLTGB"":6.425108031698092E-5,""highestVolDivVol"":0.001953},{""code"":""600882.SH"",""time"":1742785272000,""openTime"":1742785275000,""duration"":0,""updatedTime"":1742785275000,""firstVol"":2400.0,""highestVol"":2400.0,""firstVolDivLTGB"":4.687008898503168E-6,""firstVolDivVol"":1.42E-4,""highestVolDivLTGB"":4.687008898503168E-6,""highestVolDivVol"":1.42E-4},{""code"":""600882.SH"",""time"":1742785284000,""openTime"":1742785290000,""duration"":3000,""updatedTime"":1742785290000,""firstVol"":1000.0,""highestVol"":5600.0,""firstVolDivLTGB"":1.95292037437632E-6,""firstVolDivVol"":5.8E-5,""highestVolDivLTGB"":1.0936354096507392E-5,""highestVolDivVol"":3.26E-4},{""code"":""600882.SH"",""time"":1742785302000,""openTime"":1742785305000,""duration"":0,""updatedTime"":1742785305000,""firstVol"":100.0,""highestVol"":100.0,""firstVolDivLTGB"":1.95292037437632E-7,""firstVolDivVol"":6.0E-6,""highestVolDivLTGB"":1.95292037437632E-7,""highestVolDivVol"":6.0E-6},{""code"":""600882.SH"",""time"":1742785317000,""openTime"":1742785413000,""duration"":93000,""updatedTime"":1742785413000,""firstVol"":2838100.0,""highestVol"":4409200.0,""firstVolDivLTGB"":0.005542583314517434,""firstVolDivVol"":0.162904,""highestVolDivLTGB"":0.00861081651470007,""highestVolDivVol"":0.252459},{""code"":""600882.SH"",""time"":1742785431000,""openTime"":1742785449000,""duration"":15000,""updatedTime"":1742785449000,""firstVol"":1200.0,""highestVol"":35300.0,""firstVolDivLTGB"":2.343504449251584E-6,""firstVolDivVol"":6.7E-5,""highestVolDivLTGB"":6.893808921548409E-5,""highestVolDivVol"":0.001984},{""code"":""600882.SH"",""time"":1742785461000,""openTime"":1742787000000,""duration"":1536000,""updatedTime"":1742787000000,""firstVol"":3468600.0,""highestVol"":4326800.0,""firstVolDivLTGB"":0.0067738996105617035,""firstVolDivVol"":0.194284,""highestVolDivLTGB"":0.008449895875851461,""highestVolDivVol"":0.242126},{""code"":""600882.SH"",""time"":1742793060000,""openTime"":null,""duration"":3903000,""updatedTime"":1742796963000,""firstVol"":2023799.0,""highestVol"":2945999.0,""firstVolDivLTGB"":0.003952318300742422,""firstVolDivVol"":0.086393,""highestVolDivLTGB"":0.0057533014699922645,""highestVolDivVol"":0.124537}]",1,年报增长+乳业+奶酪,1366999,28747988.97,5.61005562372168,0.2669640198852055,11,10768488200.000,首板涨停,放量涨停,17,600882
000430.SZ,张家界,8.11,10.040705563,涨停, 09:36:03, 09:42:00,"[{""code"":""000430.SZ"",""time"":1742780163000,""openTime"":1742780364000,""duration"":198000,""updatedTime"":1742780364000,""firstVol"":5.90486E7,""highestVol"":5.90486E7,""firstVolDivLTGB"":0.1779972677299128,""firstVolDivVol"":3.669018,""highestVolDivLTGB"":0.1779972677299128,""highestVolDivVol"":3.669018},{""code"":""000430.SZ"",""time"":1742780403000,""openTime"":1742780454000,""duration"":48000,""updatedTime"":1742780454000,""firstVol"":4.41243E7,""highestVol"":4.67621E7,""firstVolDivLTGB"":0.13300916263035858,""firstVolDivVol"":1.611901,""highestVolDivLTGB"":0.1409605991219598,""highestVolDivVol"":1.689103},{""code"":""000430.SZ"",""time"":1742780472000,""openTime"":1742780511000,""duration"":36000,""updatedTime"":1742780511000,""firstVol"":3.969758E7,""highestVol"":4.131618E7,""firstVolDivLTGB"":0.11966517030868865,""firstVolDivVol"":1.268577,""highestVolDivLTGB"":0.12454431016209137,""highestVolDivVol"":1.308389},{""code"":""000430.SZ"",""time"":1742780520000,""openTime"":null,""duration"":11082000,""updatedTime"":1742796963000,""firstVol"":3.06809E7,""highestVol"":3.06809E7,""firstVolDivLTGB"":0.09248511178071422,""firstVolDivVol"":0.903099,""highestVolDivLTGB"":0.09248511178071422,""highestVolDivVol"":0.903099}]",1,旅游+国企改革,10832863,87854518.93,24.782860746093014,3.2467902458199043,3,2690401700.000,首板涨停,放量涨停,33,000430
